날짜,총자산
2025-01-03,100000.0
2025-01-06,100000.0
2025-01-07,99980.98553957258
2025-01-08,99526.15171269007
2025-01-10,97549.25637381416
2025-01-13,97220.34360177175
2025-01-14,97746.63063594271
2025-01-15,101291.99004146029
2025-01-16,101328.06493650161
2025-01-17,104845.56762014114
2025-01-21,104845.56762014114
2025-01-22,104845.56762014114
2025-01-23,104814.76051406858
2025-01-24,103851.24623178752
2025-01-27,97343.60780972069
2025-01-28,97787.04391157965
2025-01-29,98404.73666436328
2025-01-30,102182.63489968433
2025-01-31,102066.25951625276
2025-02-03,100078.14058919631
2025-02-04,101330.80988159176
2025-02-05,104393.21149291989
2025-02-06,104364.40206751139
2025-02-07,102310.65161350791
2025-02-10,104405.15327093938
2025-02-11,104494.73200242175
2025-02-12,104764.70567523407
2025-02-13,107166.24163823805
2025-02-14,107276.93162345882
2025-02-18,109395.17240905757
2025-02-19,109991.07878731315
2025-02-20,110166.70736405505
2025-02-21,106151.16218705855
2025-02-24,102214.14068216593
2025-02-25,97982.79606860022
2025-02-26,101749.16728869845
2025-02-27,87793.33137836453
2025-02-28,91472.10624302452
2025-03-03,84235.90555417194
2025-03-04,84720.63652120315
2025-03-05,89542.3407658168
2025-03-06,84989.64176496776
2025-03-07,89017.29083380016
2025-03-10,85864.06470091682
2025-03-11,84739.50810843875
2025-03-12,86596.93683463504
2025-03-13,86320.11148338317
2025-03-14,89834.15960197448
2025-03-17,89834.15960197448
2025-03-18,89821.21942419323
2025-03-19,90124.477677427
2025-03-20,89807.33827326636
2025-03-21,88900.13889634266
2025-03-24,92479.45746743336
2025-03-25,92463.38656760621
2025-03-26,91272.6879746028
2025-03-27,89824.78680019375
2025-03-28,86040.31799883157
2025-03-31,85793.50477989737
2025-04-01,85791.13231566288
2025-04-02,87268.18222424638
2025-04-03,72501.01857940124
2025-04-04,61038.944242341124
2025-04-07,63509.804691178404
2025-04-08,59658.63402538294
2025-04-09,86674.6767614364
2025-04-10,77115.50358747749
2025-04-11,79816.70101141243
2025-04-14,80543.44127911153
2025-04-15,81104.02791636325
2025-04-16,75456.1427280153
2025-04-17,74597.49590388701
2025-04-21,70794.60768023894
2025-04-22,74442.27975264953
2025-04-23,83056.98708812163
2025-04-24,90714.36725894378
2025-04-25,91743.74349942883
2025-04-28,91524.49822463984
2025-04-29,89149.39168943673
2025-04-30,91188.4929858616
2025-05-01,90780.67661585122
2025-05-02,98869.10376371651
2025-05-05,98129.3333238465
2025-05-06,96374.65303385594
2025-05-07,99893.36967814305
2025-05-08,101498.53862177981
2025-05-09,103374.20607100891
2025-05-12,115937.40400802063
2025-05-13,119140.53666793274
2025-05-14,119476.52937656126
2025-05-15,118855.54027557369
2025-05-16,118693.08274692803
2025-05-19,117780.1753491265
2025-05-20,117443.23703892567
2025-05-21,112981.84308983934
2025-05-22,110233.61749669479
2025-05-23,105060.66694259644
2025-05-27,115479.91611480713
2025-05-28,114522.39991421018
2025-05-29,115130.37002887725
2025-05-30,111116.36740909303
2025-06-02,114002.71518832614
2025-06-03,118106.11407023837
2025-06-04,118101.7541716303
2025-06-05,117856.40307543616
2025-06-06,118499.74477404183
2025-06-09,122153.74377840584
2025-06-10,122153.74377840584
2025-06-11,122152.95328058512
2025-06-12,122188.46768211634
2025-06-13,119612.48216375621
2025-06-16,124102.51903280528
2025-06-17,123352.78290981564
2025-06-18,123799.72775797162
2025-06-20,122537.00530685695
2025-06-23,124000.15167593272
